,HINCP,NP,AGEP,RAC1P,ESR,SEX,WIF,HUPAC,HHT,PUMA,ST
0,2,2,12,2,0,1,3,3,1,1202,24
1,2,2,1,9,0,1,3,3,1,1202,24
2,2,3,26,2,0,1,2,3,1,1202,24
3,2,2,41,1,0,1,2,3,1,1202,24
4,2,2,21,2,0,1,3,3,1,1202,24
5,2,2,27,1,0,1,2,3,1,1202,24
6,2,2,46,1,0,2,2,3,1,1202,24
7,2,2,1,3,0,2,2,3,1,1202,24
8,2,2,1,3,0,1,3,3,1,1202,24
9,2,2,8,3,0,1,3,3,1,1202,24
10,2,2,10,1,0,2,2,3,1,1202,24
11,2,2,26,1,0,1,2,3,1,1202,24
12,2,2,42,1,0,1,2,3,1,1202,24
13,2,2,1,2,0,1,3,3,1,1202,24
14,2,2,1,2,0,2,3,3,1,1202,24
15,2,2,38,1,0,2,2,3,1,1202,24
16,2,2,42,1,0,2,2,3,1,1202,24
17,2,2,1,4,0,2,3,3,1,1202,24
18,2,2,1,5,0,1,3,3,1,1202,24
19,2,2,15,1,0,2,2,3,1,1202,24
20,2,2,1,8,0,1,3,3,1,1202,24
21,2,2,38,1,0,1,2,3,1,1202,24
22,2,2,14,1,0,2,2,3,1,1202,24
23,2,2,31,2,0,1,2,3,1,1202,24
24,2,2,1,4,0,3,3,4,1,1202,24
25,2,2,50,1,0,2,2,3,1,1202,24
26,2,2,1,3,0,2,2,3,1,1202,24
27,2,2,1,7,0,2,2,3,1,1202,24
28,2,2,1,3,0,1,3,3,1,1202,24
29,2,2,39,1,0,1,2,3,1,1202,24
30,2,2,30,1,0,3,2,3,1,1202,24
31,2,2,1,6,0,1,3,3,1,1202,24
32,2,2,1,7,0,1,3,3,1,1202,24
33,2,2,51,1,0,2,2,3,1,1202,24
34,2,2,40,1,0,2,2,3,1,1202,24
35,2,2,50,1,0,2,2,3,1,1202,24
36,2,2,40,1,0,2,2,3,1,1202,24
37,2,2,23,1,0,1,3,3,1,1202,24
38,2,2,15,1,0,2,2,3,1,1202,24
39,2,2,1,5,0,2,2,3,1,1202,24
40,2,2,8,1,0,2,3,3,1,1202,24
41,2,2,22,1,0,1,2,3,1,1202,24
42,2,2,1,6,0,1,3,3,1,1202,24
43,2,2,1,4,0,1,3,3,1,1202,24
44,2,2,6,1,0,1,3,3,1,1202,24
45,2,2,40,1,0,1,2,3,1,1202,24
46,2,2,19,1,0,3,2,3,1,1202,24
47,2,2,22,1,0,2,2,3,1,1202,24
48,2,2,1,4,0,2,2,3,1,1202,24
49,2,2,1,4,0,2,2,3,1,1202,24
50,2,2,5,1,0,3,3,3,1,1202,24
51,2,2,1,4,0,1,3,3,1,1202,24
52,2,2,22,1,0,1,3,3,1,1202,24
53,2,2,19,1,0,2,2,3,1,1202,24
54,2,2,52,1,0,1,2,3,1,1202,24
55,2,2,33,1,0,1,2,3,1,1202,24
56,2,2,6,1,0,2,2,3,1,1202,24
57,2,2,33,1,0,2,2,3,1,1202,24
58,2,2,1,1,0,2,3,3,1,1202,24
59,2,2,14,1,0,1,3,3,1,1202,24
60,2,2,1,6,0,1,3,3,1,1202,24
61,2,3,15,2,0,1,3,3,1,1202,24
62,2,2,1,1,0,2,2,3,1,1202,24
63,2,2,57,1,0,2,2,3,1,1202,24
64,2,2,24,1,0,2,2,3,1,1202,24
65,2,2,26,1,0,1,2,3,1,1202,24
66,2,2,5,1,0,1,3,3,1,1202,24
67,2,2,12,1,0,2,2,3,1,1202,24
68,2,2,1,5,0,1,3,3,1,1202,24
69,2,2,51,1,0,2,2,3,1,1202,24
70,2,2,2,1,0,2,3,3,1,1202,24
71,2,2,10,1,0,2,2,3,1,1202,24
72,2,2,48,1,0,2,2,3,1,1202,24
73,2,3,17,2,0,1,3,3,1,1202,24
74,2,2,37,1,0,2,2,3,1,1202,24
75,2,2,18,1,0,2,2,3,1,1202,24
76,2,2,1,7,0,2,2,3,1,1202,24
77,2,2,1,3,0,1,3,3,1,1202,24
78,2,2,1,4,0,1,3,3,1,1202,24
79,2,2,1,3,0,2,2,3,1,1202,24
80,2,2,1,3,0,2,2,3,1,1202,24
81,2,2,1,1,0,2,3,3,1,1202,24
82,2,2,1,4,0,2,3,3,1,1202,24
83,2,2,43,1,0,3,2,3,1,1202,24
84,2,3,5,3,0,1,3,3,1,1202,24
85,2,2,45,1,0,1,2,3,1,1202,24
86,2,3,16,2,0,1,3,3,1,1202,24
87,2,2,31,1,0,2,2,3,1,1202,24
88,2,2,5,1,0,2,2,3,1,1202,24
89,2,2,37,1,0,2,2,3,1,1202,24
90,2,2,1,5,0,2,2,3,1,1202,24
91,2,2,19,1,0,1,3,3,1,1202,24
92,2,2,1,6,0,1,3,3,1,1202,24
93,2,2,50,1,0,1,2,3,1,1202,24
94,2,2,1,6,0,1,3,3,1,1202,24
95,2,2,36,1,0,1,2,3,1,1202,24
96,2,2,1,5,0,1,3,3,1,1202,24
97,2,2,55,1,0,3,2,3,1,1202,24
98,2,2,16,1,0,2,2,3,1,1202,24
99,2,2,35,1,0,2,2,3,1,1202,24
100,2,2,16,1,0,2,2,3,1,1202,24
101,2,2,1,2,0,1,3,3,1,1202,24
102,2,2,1,3,0,1,3,3,1,1202,24
103,2,2,35,1,0,1,2,3,1,1202,24
104,2,2,51,1,0,2,2,3,1,1202,24
105,2,2,9,1,0,2,2,3,1,1202,24
106,2,2,40,1,0,1,2,3,1,1202,24
107,2,2,1,7,0,1,3,3,1,1202,24
