,0,1,2,3,4,5,6,7,8,9,10
0,3.0,2.0,103.0,1.0,6.0,2.0,2.0,2.0,3.0,1203.0,24.0
1,5.0,2.0,29.0,3.0,0.0,2.0,3.0,1.0,3.0,1203.0,24.0
2,5.0,2.0,43.0,3.0,1.0,1.0,2.0,2.0,3.0,1203.0,24.0
3,5.0,2.0,42.0,3.0,1.0,1.0,2.0,1.0,3.0,1203.0,24.0
4,4.0,2.0,40.0,2.0,0.0,2.0,3.0,2.0,3.0,1203.0,24.0
5,4.0,2.0,92.0,1.0,2.0,1.0,3.0,2.0,4.0,1203.0,24.0
6,4.0,2.0,57.0,2.0,1.0,1.0,3.0,2.0,3.0,1203.0,24.0
7,5.0,2.0,41.0,3.0,0.0,1.0,2.0,1.0,3.0,1203.0,24.0
8,5.0,3.0,29.0,3.0,0.0,2.0,3.0,2.0,3.0,1203.0,24.0
9,4.0,2.0,46.0,2.0,0.0,2.0,3.0,2.0,3.0,1203.0,24.0
10,4.0,2.0,56.0,2.0,0.0,2.0,3.0,2.0,3.0,1203.0,24.0
11,3.0,2.0,93.0,1.0,5.0,2.0,2.0,2.0,3.0,1203.0,24.0
12,4.0,2.0,69.0,1.0,1.0,2.0,3.0,2.0,3.0,1203.0,24.0
13,5.0,2.0,40.0,3.0,1.0,1.0,2.0,2.0,3.0,1203.0,24.0
14,4.0,2.0,70.0,1.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
15,4.0,2.0,92.0,1.0,2.0,1.0,3.0,2.0,4.0,1203.0,24.0
16,5.0,2.0,32.0,2.0,0.0,2.0,3.0,1.0,3.0,1203.0,24.0
17,4.0,2.0,59.0,2.0,1.0,2.0,3.0,2.0,3.0,1203.0,24.0
18,5.0,3.0,30.0,2.0,0.0,2.0,3.0,1.0,3.0,1203.0,24.0
19,5.0,2.0,48.0,3.0,1.0,1.0,2.0,2.0,3.0,1203.0,24.0
20,4.0,2.0,67.0,1.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
21,4.0,2.0,74.0,1.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
22,4.0,2.0,47.0,2.0,0.0,2.0,3.0,2.0,3.0,1203.0,24.0
23,5.0,2.0,48.0,3.0,1.0,1.0,2.0,2.0,3.0,1203.0,24.0
24,4.0,2.0,89.0,1.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
25,5.0,2.0,57.0,2.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
26,4.0,2.0,73.0,1.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
27,4.0,2.0,62.0,1.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
28,5.0,2.0,44.0,3.0,1.0,1.0,2.0,2.0,3.0,1203.0,24.0
29,4.0,2.0,64.0,1.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
30,4.0,2.0,74.0,1.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
31,4.0,2.0,54.0,2.0,1.0,1.0,3.0,2.0,3.0,1203.0,24.0
32,3.0,2.0,103.0,1.0,6.0,2.0,2.0,2.0,3.0,1203.0,24.0
33,3.0,2.0,98.0,1.0,6.0,2.0,2.0,2.0,3.0,1203.0,24.0
34,4.0,2.0,64.0,1.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
35,4.0,2.0,60.0,2.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
36,4.0,2.0,86.0,1.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
37,3.0,2.0,87.0,1.0,4.0,2.0,2.0,2.0,3.0,1203.0,24.0
38,3.0,2.0,98.0,1.0,6.0,2.0,2.0,2.0,3.0,1203.0,24.0
39,4.0,2.0,74.0,1.0,2.0,1.0,3.0,2.0,3.0,1203.0,24.0
40,5.0,2.0,33.0,2.0,0.0,2.0,3.0,2.0,3.0,1203.0,24.0
41,4.0,2.0,58.0,2.0,1.0,2.0,3.0,2.0,3.0,1203.0,24.0
42,5.0,2.0,56.0,2.0,1.0,1.0,3.0,2.0,3.0,1203.0,24.0
