,0,1,2,3,4,5,6,7,8,9,10
0,6.0,5.0,16.0,1.0,0.0,2.0,4.0,3.0,1.0,1204.0,24.0
1,6.0,5.0,17.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
2,6.0,4.0,20.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
3,6.0,4.0,19.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
4,6.0,4.0,20.0,1.0,0.0,2.0,3.0,3.0,3.0,1204.0,24.0
5,6.0,4.0,17.0,1.0,0.0,2.0,2.0,3.0,3.0,1204.0,24.0
6,6.0,4.0,13.0,1.0,0.0,2.0,3.0,1.0,3.0,1204.0,24.0
7,5.0,5.0,16.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
8,2.0,2.0,43.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
9,4.0,2.0,43.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
10,6.0,4.0,31.0,1.0,0.0,1.0,2.0,4.0,1.0,1204.0,24.0
11,5.0,3.0,41.0,1.0,0.0,1.0,3.0,4.0,1.0,1204.0,24.0
12,6.0,4.0,19.0,1.0,0.0,2.0,3.0,2.0,3.0,1204.0,24.0
13,3.0,2.0,44.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
14,5.0,6.0,8.0,1.0,0.0,2.0,4.0,3.0,1.0,1204.0,24.0
15,6.0,3.0,17.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
16,6.0,4.0,10.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
17,6.0,4.0,23.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
18,6.0,4.0,22.0,1.0,0.0,2.0,3.0,4.0,2.0,1204.0,24.0
19,6.0,3.0,12.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
20,5.0,3.0,42.0,1.0,0.0,1.0,3.0,4.0,1.0,1204.0,24.0
21,6.0,3.0,29.0,1.0,0.0,1.0,2.0,4.0,1.0,1204.0,24.0
22,6.0,4.0,19.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
23,2.0,2.0,37.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
24,6.0,4.0,18.0,1.0,0.0,2.0,2.0,2.0,3.0,1204.0,24.0
25,2.0,2.0,43.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
26,3.0,3.0,36.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
27,5.0,5.0,13.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
28,6.0,4.0,17.0,1.0,0.0,2.0,4.0,3.0,2.0,1204.0,24.0
29,6.0,3.0,39.0,1.0,0.0,1.0,3.0,4.0,1.0,1204.0,24.0
30,6.0,4.0,5.0,1.0,0.0,2.0,3.0,1.0,3.0,1204.0,24.0
31,3.0,4.0,18.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
32,2.0,2.0,45.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
33,5.0,6.0,7.0,1.0,0.0,2.0,4.0,3.0,1.0,1204.0,24.0
34,4.0,4.0,22.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
35,5.0,3.0,40.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
36,6.0,4.0,21.0,1.0,0.0,2.0,4.0,3.0,2.0,1204.0,24.0
37,5.0,5.0,17.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
38,5.0,2.0,47.0,1.0,0.0,1.0,3.0,4.0,1.0,1204.0,24.0
39,6.0,3.0,16.0,1.0,0.0,2.0,2.0,3.0,3.0,1204.0,24.0
40,6.0,5.0,17.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
41,2.0,2.0,45.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
42,5.0,5.0,16.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
43,6.0,3.0,13.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
44,6.0,5.0,18.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
45,6.0,5.0,19.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
46,2.0,2.0,46.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
47,6.0,4.0,18.0,1.0,0.0,2.0,3.0,2.0,3.0,1204.0,24.0
48,6.0,4.0,35.0,1.0,0.0,1.0,3.0,4.0,1.0,1204.0,24.0
49,5.0,3.0,41.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
50,6.0,4.0,13.0,1.0,0.0,2.0,4.0,2.0,3.0,1204.0,24.0
51,6.0,4.0,16.0,1.0,0.0,2.0,3.0,2.0,3.0,1204.0,24.0
52,6.0,3.0,9.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
53,6.0,4.0,18.0,1.0,0.0,2.0,3.0,2.0,3.0,1204.0,24.0
54,6.0,3.0,13.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
55,6.0,4.0,16.0,1.0,0.0,2.0,3.0,2.0,3.0,1204.0,24.0
56,6.0,4.0,25.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
57,6.0,4.0,29.0,1.0,0.0,1.0,3.0,4.0,1.0,1204.0,24.0
58,6.0,4.0,34.0,1.0,1.0,1.0,3.0,4.0,1.0,1204.0,24.0
59,3.0,2.0,44.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
60,2.0,2.0,43.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
61,6.0,5.0,17.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
62,6.0,4.0,11.0,1.0,0.0,2.0,3.0,1.0,3.0,1204.0,24.0
63,3.0,3.0,32.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
64,6.0,3.0,10.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
65,6.0,4.0,12.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
66,3.0,4.0,26.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
67,5.0,3.0,39.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
68,5.0,5.0,11.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
69,6.0,4.0,18.0,1.0,0.0,2.0,2.0,2.0,3.0,1204.0,24.0
70,5.0,5.0,10.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
71,6.0,4.0,14.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
72,6.0,4.0,18.0,1.0,0.0,2.0,2.0,2.0,3.0,1204.0,24.0
73,6.0,4.0,19.0,1.0,0.0,2.0,3.0,3.0,3.0,1204.0,24.0
74,2.0,2.0,44.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
75,4.0,3.0,42.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
76,6.0,4.0,19.0,1.0,0.0,2.0,3.0,3.0,3.0,1204.0,24.0
77,6.0,3.0,14.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
78,6.0,4.0,37.0,1.0,0.0,1.0,3.0,4.0,1.0,1204.0,24.0
79,6.0,4.0,21.0,1.0,0.0,2.0,3.0,4.0,2.0,1204.0,24.0
80,5.0,6.0,6.0,1.0,0.0,2.0,4.0,3.0,1.0,1204.0,24.0
81,5.0,5.0,16.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
82,6.0,4.0,16.0,1.0,0.0,2.0,3.0,2.0,3.0,1204.0,24.0
83,2.0,2.0,44.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
84,6.0,3.0,15.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
85,6.0,4.0,11.0,1.0,0.0,2.0,3.0,2.0,3.0,1204.0,24.0
86,5.0,5.0,21.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
87,5.0,6.0,13.0,1.0,0.0,2.0,4.0,4.0,1.0,1204.0,24.0
88,4.0,4.0,30.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
89,6.0,5.0,15.0,1.0,0.0,2.0,4.0,3.0,1.0,1204.0,24.0
90,6.0,4.0,26.0,1.0,0.0,1.0,3.0,4.0,1.0,1204.0,24.0
91,6.0,3.0,39.0,1.0,0.0,1.0,3.0,4.0,1.0,1204.0,24.0
92,6.0,4.0,17.0,1.0,0.0,2.0,4.0,3.0,3.0,1204.0,24.0
93,5.0,2.0,42.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
94,6.0,4.0,9.0,1.0,0.0,2.0,2.0,1.0,3.0,1204.0,24.0
95,6.0,4.0,26.0,1.0,0.0,1.0,3.0,4.0,1.0,1204.0,24.0
96,2.0,2.0,40.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
97,2.0,2.0,42.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
98,4.0,2.0,44.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
99,6.0,4.0,17.0,1.0,0.0,2.0,2.0,3.0,3.0,1204.0,24.0
100,3.0,2.0,45.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
101,3.0,2.0,45.0,1.0,0.0,1.0,4.0,4.0,1.0,1204.0,24.0
