,HINCP,NP,AGEP,RAC1P,ESR,SEX,WIF,HUPAC,HHT,PUMA,ST
0,4,3,40,2,2,1,3,3,1,1201,24
1,5,4,23,1,0,1,3,2,1,1201,24
2,4,4,36,2,1,1,3,3,1,1201,24
3,4,4,22,2,1,2,3,2,3,1201,24
4,5,4,31,3,1,2,3,3,1,1201,24
5,4,4,35,3,2,1,3,2,1,1201,24
6,5,4,13,2,0,2,3,2,1,1201,24
7,5,4,28,1,1,1,3,2,1,1201,24
8,4,3,55,2,5,2,2,4,1,1201,24
9,5,4,18,1,0,2,3,2,1,1201,24
10,5,4,16,1,0,2,3,2,1,1201,24
11,5,5,29,3,3,2,3,2,1,1201,24
12,5,4,24,2,0,1,3,2,1,1201,24
13,3,3,38,2,4,1,2,3,3,1201,24
14,4,4,37,3,3,1,3,3,1,1201,24
15,5,4,28,2,1,1,3,2,1,1201,24
16,5,4,30,2,1,1,3,2,1,1201,24
17,5,4,34,3,2,1,3,2,1,1201,24
18,5,4,25,2,1,2,3,2,1,1201,24
19,5,4,30,2,1,2,3,3,1,1201,24
20,5,4,31,3,1,1,3,2,1,1201,24
21,4,3,37,2,1,1,3,3,1,1201,24
22,5,4,26,2,1,2,3,3,1,1201,24
23,4,3,48,2,4,1,2,3,1,1201,24
24,4,4,36,3,2,1,3,3,1,1201,24
25,5,4,34,2,1,1,3,2,1,1201,24
26,4,5,14,1,0,2,3,3,1,1201,24
27,4,3,38,2,2,2,3,3,1,1201,24
28,5,4,34,3,4,2,3,2,1,1201,24
29,4,4,22,1,0,1,3,2,2,1201,24
30,4,4,33,2,1,1,3,3,1,1201,24
31,4,3,52,2,5,2,2,4,1,1201,24
32,4,4,17,2,0,1,2,2,3,1201,24
33,5,4,31,2,1,2,3,3,1,1201,24
34,4,3,38,2,1,1,3,3,1,1201,24
35,5,4,35,2,4,2,3,2,1,1201,24
36,4,3,34,2,1,2,3,3,1,1201,24
37,4,4,25,2,1,1,3,2,2,1201,24
38,4,4,36,3,4,1,3,2,1,1201,24
39,4,4,29,1,1,1,3,3,1,1201,24
40,4,3,45,2,5,2,2,3,3,1201,24
41,3,4,30,2,1,2,3,2,3,1201,24
42,4,3,36,2,1,1,3,3,1,1201,24
43,5,4,26,2,1,1,3,2,1,1201,24
44,4,3,35,2,1,2,3,3,1,1201,24
45,4,3,53,2,5,1,2,4,1,1201,24
46,4,4,13,1,0,2,3,3,1,1201,24
47,4,4,41,2,4,1,3,3,1,1201,24
48,4,4,29,1,1,1,3,3,1,1201,24
49,4,3,43,2,2,1,3,3,1,1201,24
50,4,3,53,2,4,1,2,4,1,1201,24
51,5,4,28,3,1,1,3,2,1,1201,24
52,4,3,44,2,3,1,3,3,1,1201,24
53,4,4,12,1,0,2,2,2,3,1201,24
54,4,5,11,1,0,2,3,2,1,1201,24
55,4,3,50,2,5,2,2,3,1,1201,24
56,5,4,28,3,1,1,3,2,1,1201,24
57,5,4,37,2,4,2,3,3,1,1201,24
58,4,3,34,2,1,1,3,3,2,1201,24
59,5,4,26,4,3,2,3,2,1,1201,24
60,4,3,52,2,5,2,2,4,1,1201,24
61,4,3,39,2,2,1,3,3,1,1201,24
62,3,3,29,3,2,1,2,2,3,1201,24
63,4,3,39,2,1,2,3,3,2,1201,24
64,5,4,25,2,1,2,3,3,1,1201,24
65,5,4,25,2,1,2,3,3,1,1201,24
66,5,4,33,2,1,2,3,3,1,1201,24
67,5,4,26,1,0,1,3,2,1,1201,24
68,4,4,10,1,0,2,3,1,1,1201,24
69,5,4,20,1,1,2,3,3,1,1201,24
70,5,4,12,1,0,1,3,2,1,1201,24
71,5,4,31,3,1,2,3,3,1,1201,24
72,5,4,22,1,0,1,3,2,1,1201,24
73,5,4,13,1,0,2,3,2,1,1201,24
74,4,3,57,2,5,2,2,4,1,1201,24
75,5,4,28,3,1,1,3,2,1,1201,24
76,4,3,38,2,1,1,3,3,1,1201,24
77,4,3,48,2,3,1,2,3,1,1201,24
78,5,4,18,2,1,2,3,1,1,1201,24
79,5,4,21,4,1,1,3,1,1,1201,24
80,5,4,29,1,1,1,3,3,1,1201,24
81,4,3,51,2,5,2,2,3,1,1201,24
82,5,4,30,3,1,2,3,2,1,1201,24
83,5,4,29,3,1,1,3,2,1,1201,24
84,4,3,54,2,5,1,2,4,1,1201,24
85,5,4,29,1,1,1,3,3,1,1201,24
86,4,3,38,2,1,1,3,3,1,1201,24
87,4,4,31,1,1,1,3,3,1,1201,24
88,5,4,28,2,1,1,3,2,1,1201,24
89,3,3,42,2,5,2,2,3,3,1201,24
90,5,4,34,3,2,1,3,2,1,1201,24
91,5,4,32,2,1,1,3,2,1,1201,24
92,4,4,40,2,3,1,3,3,1,1201,24
93,4,3,36,2,1,1,3,3,1,1201,24
94,4,3,37,2,1,1,3,3,1,1201,24
95,5,4,26,2,1,2,3,2,1,1201,24
96,5,4,34,2,1,2,3,3,1,1201,24
97,5,4,24,2,1,2,3,2,1,1201,24
98,4,4,29,2,1,2,3,3,1,1201,24
99,5,4,25,2,1,2,3,3,1,1201,24
100,5,4,30,2,1,1,3,3,1,1201,24
101,4,3,25,2,1,1,3,2,3,1201,24
102,4,3,31,2,1,1,3,3,1,1201,24
103,4,4,35,2,5,2,3,2,1,1201,24
104,5,4,22,2,1,2,3,2,1,1201,24
105,5,3,37,2,2,2,3,3,1,1201,24
106,4,3,50,2,4,1,2,4,1,1201,24
107,4,4,44,2,5,2,2,3,1,1201,24
108,5,4,35,3,2,1,3,3,1,1201,24
109,4,3,41,2,2,1,3,3,1,1201,24
110,5,4,30,3,1,1,3,2,1,1201,24
111,5,4,34,2,1,2,3,3,1,1201,24
112,4,4,22,2,1,2,3,2,3,1201,24
113,5,4,29,2,1,1,3,2,1,1201,24
114,3,4,25,3,1,1,3,2,3,1201,24
115,4,3,44,2,2,1,3,3,1,1201,24
116,4,4,24,2,1,2,3,3,1,1201,24
